Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S006,Arico,18.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S001,Arico,28.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S001,Arico,80.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S002,Arico,18.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S002,Arico,31.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S003,Arico,20.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S003,Arico,21.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S004,Arico,11.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S004,Arico,23.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S005,Arico,13.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S005,Arico,38.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S006,Arico,10.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S006,Arico,15.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S001,Arona,3.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S001,Arona,7.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S002,Arona,4.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S002,Arona,9.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S003,Arona,2.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S003,Arona,12.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S004,Arona,8.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S004,Arona,11.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S005,Arona,1.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S005,Arona,14.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S006,Arona,1.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S006,Arona,6.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S007,Arona,12.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S007,Arona,61.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S008,Arona,8.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S008,Arona,38.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S009,Arona,2.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S009,Arona,10.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S010,Arona,4.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S010,Arona,6.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S011,Arona,3.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S011,Arona,10.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S012,Arona,1.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S012,Arona,6.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S013,Arona,22.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S013,Arona,68.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S014,Arona,2.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S014,Arona,13.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S015,Arona,2.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S015,Arona,4.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S016,Arona,2.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S016,Arona,13.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S017,Arona,1.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S017,Arona,9.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S018,Arona,12.0,2021,Santa Cruz de Tenerife,Mujeres
